repo,url,stars,language,archived,fork,pushedAt,connectedToCloud,cloudStatus,nxCloudId,usesLerna
nx-go/nx-go,https://github.com/nx-go/nx-go,565,TypeScript,false,false,2026-06-23T23:44:43Z,false,not-connected,,false
Rel1cx/eslint-react,https://github.com/Rel1cx/eslint-react,564,TypeScript,false,false,2026-06-27T16:34:43Z,false,not-connected,,false
gund/ng-dynamic-component,https://github.com/gund/ng-dynamic-component,562,TypeScript,false,false,2025-09-17T22:48:45Z,false,not-connected,,false
LouisMazel/maz-ui,https://github.com/LouisMazel/maz-ui,562,TypeScript,false,false,2026-06-22T23:42:26Z,false,not-connected,,false
easyblockshq/easyblocks,https://github.com/easyblockshq/easyblocks,558,TypeScript,false,false,2024-08-15T12:41:00Z,false,not-connected,,true
zuplo/zudoku,https://github.com/zuplo/zudoku,555,TypeScript,false,false,2026-06-27T09:51:02Z,false,opted-out,,false
vietanhdev/shipfast,https://github.com/vietanhdev/shipfast,548,TypeScript,false,false,2023-10-29T03:30:06Z,false,not-connected,,false
Skyscanner/backpack,https://github.com/Skyscanner/backpack,539,TypeScript,false,false,2026-06-26T18:34:29Z,false,not-connected,,false
orca-so/whirlpools,https://github.com/orca-so/whirlpools,538,TypeScript,false,false,2026-06-27T08:17:50Z,false,not-connected,,false
Motion-Core/motion-core,https://github.com/Motion-Core/motion-core,536,Svelte,false,false,2026-06-15T00:56:50Z,false,not-connected,,false
hcfyapp/google-translate-cn-ip,https://github.com/hcfyapp/google-translate-cn-ip,535,JavaScript,false,false,2023-04-26T09:25:35Z,false,not-connected,,false
UI5/webcomponents-react,https://github.com/UI5/webcomponents-react,534,TypeScript,false,false,2026-06-26T19:46:07Z,false,not-connected,,true
vsavkin/large-monorepo,https://github.com/vsavkin/large-monorepo,521,TypeScript,false,false,2025-02-12T14:34:46Z,false,not-connected,,false
bdebon/choiceof.dev,https://github.com/bdebon/choiceof.dev,513,TypeScript,false,false,2023-07-22T20:38:09Z,false,not-connected,,false
ever-co/ever-teams,https://github.com/ever-co/ever-teams,510,TypeScript,false,false,2026-06-20T15:41:22Z,false,not-connected,,true
modiimedia/arri,https://github.com/modiimedia/arri,504,TypeScript,false,false,2026-06-08T17:37:43Z,false,not-connected,,false
epam/ai-dial-chat,https://github.com/epam/ai-dial-chat,501,TypeScript,false,false,2026-06-27T09:15:21Z,false,not-connected,,false
